x_U2F8 x_UF3 x_UF4 x_U[VII]-F4 x_U[VI]-F4 
0 0.00266876 0.0472648 0 0 
0 0.00266603 0.0472621 0 0 
0 0.00266353 0.0472601 0 0 
0 0.00266118 0.0472575 0 0 
0 0.00265875 0.0472547 0 0 
0 0.00265618 0.0472527 0 0 
0 0.00265379 0.0472507 0 0 
0 0.00265136 0.0472479 0 0 
0 0.00264872 0.0472458 0 0 
0 0.00264631 0.0472434 0 0 
0 0.00264368 0.0472415 0 0 
0 0.00264104 0.0472387 0 0 
0 0.00263862 0.0472366 0 0 
0 0.00263599 0.0472338 0 0 
0 0.00263336 0.0472319 0 0 
0 0.00263076 0.0472303 0 0 
0 0.00262819 0.0472274 0 0 
0 0.0026255 0.0472254 0 0 
0 0.00262287 0.0472227 0 0 
0 0.00262022 0.0472214 0 0 
0 0.0026176 0.0472196 0 0 
0 0.00261493 0.0472171 0 0 
0 0.00261231 0.0472152 0 0 
0 0.00260956 0.0472131 0 0 
0 0.00260687 0.0472104 0 0 
0 0.00260433 0.0472083 0 0 
0 0.00260165 0.0472063 0 0 
0 0.00259898 0.047204 0 0 
0 0.00259617 0.047202 0 0 
0 0.00259363 0.0472 0 0 
0 0.00259095 0.0471971 0 0 
0 0.00258827 0.0471952 0 0 
0 0.00258553 0.0471932 0 0 
0 0.00258306 0.0471916 0 0 
0 0.00258032 0.0471897 0 0 
0 0.00257758 0.0471876 0 0 
0 0.00257491 0.0471849 0 0 
0 0.00257232 0.0471828 0 0 
0 0.00256965 0.0471809 0 0 
0 0.00256694 0.0471785 0 0 
0 0.00256421 0.0471764 0 0 
0 0.00256155 0.0471745 0 0 
0 0.00255897 0.0471726 0 0 
0 0.0025563 0.0471697 0 0 
0 0.00255365 0.0471677 0 0 
0 0.00255086 0.0471657 0 0 
0 0.00254836 0.0471633 0 0 
0 0.00254575 0.0471622 0 0 
0 0.00254297 0.0471601 0 0 
0 0.00254039 0.0471581 0 0 
0 0.00253774 0.0471553 0 0 
0 0.00253503 0.0471533 0 0 
0 0.00253248 0.0471517 0 0 
0 0.00252977 0.047149 0 0 
0 0.0025272 0.0471469 0 0 
0 0.00252456 0.0471449 0 0 
0 0.00252193 0.047143 0 0 
0 0.00251922 0.04714 0 0 
0 0.00251661 0.0471384 0 0 
0 0.00251398 0.0471365 0 0 
0 0.00251141 0.0471336 0 0 
0 0.00250876 0.0471325 0 0 
0 0.00250613 0.0471305 0 0 
0 0.00250358 0.0471285 0 0 
0 0.00250088 0.0471256 0 0 
0 0.00249835 0.047124 0 0 
0 0.00249566 0.0471221 0 0 
0 0.00249317 0.0471191 0 0 
0 0.00249056 0.0471172 0 0 
0 0.00248788 0.0471152 0 0 
0 0.0024852 0.0471132 0 0 
0 0.0024826 0.0471108 0 0 
0 0.00248013 0.0471087 0 0 
0 0.00247752 0.0471067 0 0 
0 0.00247484 0.0471039 0 0 
0 0.00247228 0.0471028 0 0 
0 0.00246988 0.0471007 0 0 
0 0.00246723 0.0470991 0 0 
0 0.00246455 0.0470963 0 0 
0 0.00246196 0.0470943 0 0 
0 0.00245943 0.0470923 0 0 
